"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试删除收货地址接口","117","test_address_delete[\u5220\u9664\u6536\u8d27\u5730\u5740-id\u4e0d\u5b58\u5728]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试获取用户个人信息接口","103","test_user_info_person[\u83b7\u53d6\u7528\u6237\u4fe1\u606f-\u65e0Token]","tests","2026-04-22","passed","2026-04-22","TestUserInfo","test_user_info","",""
"测试添加收货地址接口","119","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u624b\u673a\u53f7\u4e3a\u7a7a]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试删除收货地址接口","121","test_address_delete[\u5220\u9664\u6536\u8d27\u5730\u5740-id\u4e3a\u7a7a]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试添加收货地址接口","179","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u7f3a\u5c11\u7701\u4efd]","tests","2026-04-22","passed","2026-04-22","TestUserAddress","test_user_address","",""
"测试获取用户个人信息接口","103","test_user_info_person[\u83b7\u53d6\u7528\u6237\u4fe1\u606f-Token\u8fc7\u671f]","tests","2026-04-22","passed","2026-04-22","TestUserInfo","test_user_info","",""
"测试添加收货地址接口","119","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u7f3a\u5c11\u57ce\u5e02]","tests","2026-04-22","passed","2026-04-22","TestUserAddress","test_user_address","",""
"测试添加收货地址接口","123","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u7f3a\u5c11\u8054\u7cfb\u4eba]","tests","2026-04-22","passed","2026-04-22","TestUserAddress","test_user_address","",""
"测试分页查询收货地址接口","112","test_address_page[\u67e5\u8be2\u6536\u8d27\u5730\u5740\u5217\u8868]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试密码登录接口","101","test_login_password[phone\u542b\u5b57\u6bcd]","tests","2026-04-22","failed","2026-04-22","TestUserLogin","test_user_login","",""
"测试密码登录接口","104","test_login_password[\u7f3a\u5c11phone\u5b57\u6bb5]","tests","2026-04-22","failed","2026-04-22","TestUserLogin","test_user_login","",""
"测试密码登录接口","117","test_login_password[\u7528\u6237\u4e0d\u5b58\u5728]","tests","2026-04-22","failed","2026-04-22","TestUserLogin","test_user_login","",""
"测试删除收货地址接口","106","test_address_delete[\u5220\u9664\u6536\u8d27\u5730\u5740-\u7f3a\u5c11id]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试删除收货地址接口","115","test_address_delete[\u5220\u9664\u6536\u8d27\u5730\u5740-id\u4e3a\u5c0f\u6570]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
"测试添加收货地址接口","113","test_address_add[\u6dfb\u52a0\u6536\u8d27\u5730\u5740-\u57ce\u5e02\u4e3a\u7a7a]","tests","2026-04-22","failed","2026-04-22","TestUserAddress","test_user_address","",""
